id,title,content,thank_count,customer_id,rating,created_at,customer_name,purchased_at
,Cực kì hài lòng,"Chất liệu mát, êm, kiểu dáng đẹp, đường may kỹ. Tặng shop năm sao",0,13420443,5,1691205325,Phạm Minh Minh ,1690605409
,Cực kì hài lòng,"Cho shop 5* hàng ok nhé shop, mua thêm bộ nữa",0,29204615,5,1687440447,Kem do,1687269115
,Rất không hài lòng,Hàng quá kém chất lượng . Sài vài hôm bung bét hết dây 4 góc cố định .,0,11593813,1,1690457609,Nguyen Hữu Tâm,1687099437
,Cực kì hài lòng,Ok dùng tạm ổn nhưng k mát như mong muốn,0,18546961,5,1687850484,Nguyễn Mạnh Hùng,1685723015
,Cực kì hài lòng,"Nằm mát lắm, chất đẹp xỉu, quá ưng❤️",0,28230544,5,1684638715,Đinh Khánh Linh,1684289058
,Rất không hài lòng,"Đặt màu xanh rêu nhưng giao màu xanh dương, quá thất vọng, chất lượng không như mong đợi",0,5579010,1,1680094362,Trần Hữu Đông,1679634746
,Bình thường,Hàng mao Trạch đông! Không như hình ảnh và chi tiết sản phẩm,0,13975101,3,1688618049,Mr cuong,1688386218
,Rất không hài lòng,"Sai màu,hàng kém chất lượng",0,12332274,1,1681368165,Cường Trần,1681121610
,Cực kì hài lòng,"Sản phẩm nhận được đúng mẫu giới thiệu, đúng size thể tích đã đặt, hình thức rất đẹp, inox sáng bóng, các ngăn và vỉ hấp thiết kế rất vừa vặn, tạo khoảng cách đủ để hấp cùng lúc nhiều món, giá rẻ,  giao hàng nhanh, hài lòng sản phẩm nên tặng shop 5*. Các bà nội trợ nên mua.",0,29209979,5,1687612436,Văn Luyến,1687445757
,Cực kì hài lòng,"Sản phẩm i hình , đầy đủ , chất lượng , mình đã sử dụng qua 2 lần và thấy rất tốt. Nhà mình dùng bếp từ vẫn oki nhé. giao hàng nhanh , đóng gói chắc chắn 👍👍👍👍",0,12682480,5,1687944457,thu thu,1687445275
,Cực kì hài lòng,"Hàng đúng y hình mẫu, giá cả phù hợp với người tiêu dùng, có thể dung 1 tâng 2 tầng tùy ý linh dộng dc, dùng bếp từ dc nha, hấp dc nhiu đồ 1 lúc, nấu xôi cũng ngon lắm nha",0,27945151,5,1688305875,Nguyễn Văn Cảnh,1688049229
,Cực kì hài lòng,"Nồi phù hợp và tiện lợi. Giá như thế là ổn lắm rồi
Hấp siêu nhanh
Mình rất ưng ý 
Sẽ ủng hộ shop lâu dài",0,7812210,5,1688194181,Ms Hiền,1688048039
,Cực kì hài lòng,"Giá thành rẻ, chất lượng sản phẩm tốt, sẽ ủng hộ shop nếu lần sau có nhu cầu hoặc sản phẩm phù hợp",0,29227713,5,1688220784,Tùng Đình,1688045675
,Cực kì hài lòng,"Chất liệu bền, đáng tiền, sẽ mua lại lần 2",0,22907427,5,1688282916,Chu Anh,1688052859
